M‚tier;Grand secteur;Nombre de projets;Nombre de projets difficiles;Nombre de projets saisonniers
Ouvriers qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Agriculture;0;0;0
Ouvriers qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Industrie;5570;3120;420
Ouvriers qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Construction;1670;1180;70
Ouvriers qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Commerce;220;190;0
Ouvriers qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Services aux entreprises;1180;740;60
Ouvriers qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Services aux particuliers;410;40;20
Ouvriers qualifi‚s de la maintenance;Agriculture;190;140;20
Ouvriers qualifi‚s de la maintenance;Industrie;7370;5470;510
Ouvriers qualifi‚s de la maintenance;Construction;1900;1430;150
Ouvriers qualifi‚s de la maintenance;Commerce;7060;5810;350
Ouvriers qualifi‚s de la maintenance;Services aux entreprises;3680;2010;660
Ouvriers qualifi‚s de la maintenance;Services aux particuliers;6290;2650;1840
Ouvriers qualifi‚s de la manutention;Agriculture;60;40;40
Ouvriers qualifi‚s de la manutention;Industrie;4350;1520;1160
Ouvriers qualifi‚s de la manutention;Construction;160;80;10
Ouvriers qualifi‚s de la manutention;Commerce;9620;5220;2790
Ouvriers qualifi‚s de la manutention;Services aux entreprises;9540;5640;2920
Ouvriers qualifi‚s de la manutention;Services aux particuliers;770;180;200
Ouvriers qualifi‚s de la m‚canique;Industrie;6470;3770;580
Ouvriers qualifi‚s de la m‚canique;Construction;210;170;10
Ouvriers qualifi‚s de la m‚canique;Commerce;430;340;10
Ouvriers qualifi‚s de la m‚canique;Services aux entreprises;550;300;100
Ouvriers qualifi‚s de la m‚canique;Services aux particuliers;20;10;0
Ouvriers qualifi‚s de la r‚paration automobile;Agriculture;110;100;10
Ouvriers qualifi‚s de la r‚paration automobile;Industrie;540;410;20
Ouvriers qualifi‚s de la r‚paration automobile;Construction;140;130;10
Ouvriers qualifi‚s de la r‚paration automobile;Commerce;14730;12140;600
Ouvriers qualifi‚s de la r‚paration automobile;Services aux entreprises;2370;2010;140
Ouvriers qualifi‚s de la r‚paration automobile;Services aux particuliers;270;140;60
Ouvriers qualifi‚s des industries de process;Agriculture;80;30;0
Ouvriers qualifi‚s des industries de process;Industrie;17400;9390;3980
Ouvriers qualifi‚s des industries de process;Construction;210;90;20
Ouvriers qualifi‚s des industries de process;Commerce;980;560;490
Ouvriers qualifi‚s des industries de process;Services aux entreprises;2780;1450;550
Ouvriers qualifi‚s des industries de process;Services aux particuliers;350;130;100
Ouvriers qualifi‚s des travaux publics, du b‚ton et de l'extraction;Agriculture;70;50;50
Ouvriers qualifi‚s des travaux publics, du b‚ton et de l'extraction;Industrie;380;270;30
